thai,phone
ตุ,tu2ʔ
ตุ๊,tu4ʔ
ตุ๊ก,tu4k
ตุ๊กกะตา,tu4k ka2ʔ tA1
ตุ๊กแก,tu4k kY1
ตุ๊กตา,tu4k ka2 tA1
ตุ๊กตายัดนุ่น,tu4k ka2 tA1 ja4t nu3n
ตุ๊กตาเสียกบาล,tu4k ka2 tA1 sJ2k bA1n
ตุ๊กตาหมี,tu4k ka2 tA1 mI5
ตุ๊กตาหิมะ,tu4k ka2 tA1 hi2ʔ ma4ʔ
ตุง,tu1ŋ
ตุ้งติ้ง,tu3ŋ ti3ŋ
ตุ๊ด,tu4t
ตุ๊ตะ,tu4ʔ ta2ʔ
ตุ๊ต๊ะ,tu4ʔ ta4ʔ
ตุตังคาเมน,tu2ʔ ta1ŋ KA1 mE1n
ตุ๊ติ๊,tu4ʔ ti4ʔ
ตุน,tu1n
ตุ่น,tu2n
ตุ๋น,tu5n
ตุนาหงัน,tu2ʔ nA1 ŋa5n
ตุ้บตั้บ,tu3p ta3p
ตุ๊บป่อง,tu4p pX2ŋ
ตุปัดตุป่อง,tu2ʔ pa2t tu2ʔ pX2ŋ
ตุปัดตุเป๋,tu2ʔ pa2t tu2ʔ pe5ʔ
ตุ่ม,tu2m
ตุ้ม,tu3m
ตุ้มหู,tu3m hU5
ตุ่ย,tu2j
ตุ๊ย,tu4j
ตุ๋ย,tu5j
ตุ๋ยตุ่ย,tu5j tu2j
ตุ้ยนุ้ย,tu3j nu4j
ตุรกี,tu2ʔ ra4 kI1
ตุรัดตุเหร่,tu2ʔ ra4t tu2ʔ re2ʔ
ตุล,tu1n
ตุลย์,tu1n
ตุลา,tu2ʔ lA1
ตุลาการ,tu2ʔ lA1 kA1n
ตุลาการภิวัฒน์,tu2ʔ lA1 kA1n Pi4ʔ wa4t
ตุลาการภิวัตน์,tu2ʔ lA1 kA1n Pi4ʔ wa4t
ตุลาคม,tu2ʔ lA1 Ko1m
ตุลาฯ,tu2ʔ lA1
ตุหรัดตุเหร่,tu2ʔ ra2t tu2ʔ re2ʔ
ตู,tU1
ตู่,tU2
ตู่ตัว,tU2 tV1
ตู่พุทธะพจน์,tU2 Pu4t Ta4ʔ Po4t
ตู่เอา,tU2 ʔa1w
ตู้,tU3
ตู้กดน้ำ,tU3 ko2t nA4m
ตู้กระจก,tU3 kra2ʔ co2k
ตู้กับข้าว,tU3 ka2p KA3w
ตู้เก็บของ,tU3 ke2p KX5ŋ
ตู้เก็บค่าธรรมเนียม,tU3 ke2p KA3 Ta1m nJ1m
ตู้เก็บชาม,tU3 ke2p CA1m
ตู้เก็บแฟ้มเอกสาร,tU3 ke2p fY4m ʔE2k ka2 sA5n
ตู้เก็บรองเท้า,tU3 ke2p rX1ŋ TA4w
ตู้คอนเทนเนอร์,tU3 KX1n TE1n nZ1
ตู้จดหมาย,tU3 co2t mA5j
ตู้แช่,tU3 CY3
ตู้แช่แข็ง,tU3 CY3 Kɛ5ŋ
ตู้โชว์,tU3 CO1
ตู้เซฟ,tU3 se4f
ตู้เซฟธนาคาร,tU3 se4f Ta4 nA1 KA1n
ตู้ติดผนัง,tU3 ti2t Pa2 na5ŋ
ตู้ถ้วยชาม,tU3 TV3j CA1m
ตู้ทอง,tU3 TX1ŋ
ตู้ทำน้ำแข็ง,tU3 Ta1m na4m Kɛ5ŋ
ตู้โทรศัพท์,tU3 TO1 ra4 sa2p
ตู้โทรศัพท์สาธารณะ,tU3 TO1 ra4 sa2p sA5 TA1 ra4 na4ʔ
ตู้นอน,tU3 nX1n
ตู้น้ำแข็ง,tU3 na4m Kɛ5ŋ
ตู้น้ำดื่ม,tU3 nA4m dW2m
ตู้น้ำดื่มหยอดเหรียญ,tU3 nA4m dW2m jX2t rJ5n
ตู้น้ำเย็น,tU3 nA4m je1n
ตู้นิรภัย,tU3 ni4ʔ ra4 Pa1j
ตู้ปลา,tU3 plA1
ตู้ไปรษณีย์,tU3 pra1j sa2 nI1
ตู้ไปรษณีย์เช่า,tU3 pra1j sa2 nI1 Ca3w
ตู้เพลง,tU3 PlE1ŋ
ตู้มีลิ้นชัก,tU3 mI1 li4n Ca4k
ตู้ยา,tU3 jA1
ตู้ยาม,tU3 jA1m
ตู้เย็น,tU3 je1n
ตู้รถไฟ,tU3 ro4t fa1j
ตู้รับจดหมาย,tU3 ra4p co2t mA5j
ตู้เสบียง,tU3 sa2 bJ1ŋ
ตู้เสื้อผ้า,tU3 sR3 PA3
ตู้หนังสือ,tU3 na5ŋ sW5
ตู้หนังสือพิมพ์,tU3 na5ŋ sW5 Pi1m
ตู้อบทารก,tU3 ʔo2p TA1 ro4k
ตู้เอทีเอ็ม,tU3 ʔE1 TI1 ʔe1m
ตูข้า,tU1 KA3
ตูด,tU2t
ตูดปอดยอดขุนพล,tU2t pX2t jX3t Ku5n Po1n
ตูนิเชีย,tU1 ni4ʔ CJ1
ตูนิเซีย,tU1 ni4ʔ sJ1
ตูนิส,tU1 ni4t
ตูบ,tU2p
ตูม,tU1m
ตู้ม,tU3m
ตูมตาม,tU1m tA1m
ตูลากี,tU1 lA1 kI1
เต้ก,te3k
เตกูซิกัลปา,tE1 kU1 si4ʔ ka1n pA1
เตง,tE1ŋ
เต็ง,te1ŋ
เต่ง,te2ŋ
เต่งตึง,te2ŋ tɯ1ŋ
เต้ง,te3ŋ
เตตร้า,tE1 trA3
เตตร้าเอทิล,tE1 trA3 ʔE1 Ti1n
เตตร้าเอทิลลีด,tE1 trA3 ʔE1 Ti1n lI3t
เตตราไซคลีน,tE2t rA1 sa1j KlI1n
เต้น,te3n
เต้นเป็นเจ้าเข้า,te3n pe1n ca3w Ka3w
เต้นเปลือยอก,te3n plR1j ʔo2k
เต้นผาง,te3n PA5ŋ
เต้นระบำ,te3n ra4ʔ ba1m
เต้นรำ,te3n ra1m
เต้นลีลาศ,te3n lI1 lA3t
เต้นสเกตน้ำแข็ง,te3n sa2ʔ ke4t na4m Kɛ5ŋ
เต้นแอโรบิค,te3n ʔY1 rO1 bi2k
เต็นท์,te1n
เต้นท์,te3n
เต๊นท์,te4n
เตนนิส,tE1n ni4t
เต็ม,te1m
เต็มกลืน,te1m klW1n
เต็มกำลัง,te1m ka1m la1ŋ
เต็มขอบ,te1m KX2p
เต็มคราบ,te1m KrA3p
เต็มความสามารถ,te1m KwA1m sA5 mA3t
เต็มจอ,te1m cX1
เต็มใจ,te1m ca1j
เต็มดวง,te1m dV1ŋ
เต็มตัว,te1m tV1
เต็มทน,te1m To1n
เต็มที่,te1m TI3
เต็มใบ,te1m ba1j
เต็มปาก,te1m pA2k
เต็มปากเต็มคอ,te1m pA2k te1m KX1
เต็มปากเต็มคำ,te1m pA2k te1m Ka1m
เต็มเปี่ยม,te1m pJ2m
เต็มไปด้วย,te1m pa1j dV3j
เต็มไปหมด,te1m pa1j mo2t
เต็มฝั่ง,te1m fa2ŋ
เต็มมือ,te1m mW1
เต็มเม็ดเต็มหน่วย,te1m me4t te1m nV2j
เต็มยศ,te1m jo4t
เต็มร้อย,te1m rX4j
เต็มรูปแบบ,te1m rU3p bY2p
เต็มลูกนัยน์ตา,te1m lU3k na1j tA1
เต็มเวลา,te1m wE1 lA1
เต็มสตีม,te1m sa2 tI1m
เต็มสองตา,te1m sX5ŋ tA1
เต็มสูบ,te1m sU2p
เต็มเหนี่ยว,te1m nJ2w
เต็มเหยียด,te1m jJ2t
เต็มอัตราศึก,te1m ʔa2t rA1 sɯ2k
เต็มอิ่ม,te1m ʔi2m
เต็มเอี้ยด,te1m ʔJ3t
เต็มแก่,te1m kY2
เต็มตา,te1m tA1
เต็มที,te1m TI1
เต็มประดา,te1m pra2ʔ dA1
เต็มเปา,te1m pa1w
เต็มเอี๊ยด,te1m ʔJ4t
เตย,tZ1j
เตร่,tre2ʔ
เตรียม,trJ1m
เตรียมการ,trJ1m kA1n
เตรียมความพร้อม,trJ1m KwA1m PrX4m
เตรียมใจ,trJ1m ca1j
เตรียมตัว,trJ1m tV1
เตรียมพร้อม,trJ1m PrX4m
เตรียมรับมือ,trJ1m ra4p mW1
เตลิด,ta2 lZ2t
เตลิดเปิดเปิง,ta2 lZ2t pZ2t pZ1ŋ
เตว็ด,ta2 we2t
เตหะราน,tE1 ha2ʔ rA1n
เต่อ,tZ2
เตอรกี,tZ1n kI1
เตอะ,tə2ʔ
เตฮะราน,tE1 ha4ʔ rA1n
เตะ,te2ʔ
เตะก้น,te2ʔ ko3n
เตะจมูก,te2ʔ ca2 mU2k
เตะฉาก,te2ʔ CA2k
เตะโด่ง,te2ʔ dO2ŋ
เตะต่อย,te2ʔ tX2j
เตะตัดขัดขา,te2ʔ ta2t Ka2t KA5
เตะตา,te2ʔ tA1
เตะถ่วง,te2ʔ TV2ŋ
เตะฝุ่น,te2ʔ fu2n
เตะมุม,te2ʔ mu1m
เตะลูกโทษ,te2ʔ lU3k TO3t
เตะหมูเข้าปากหมา,te2ʔ mU5 Ka3w pA2k mA5
เต๊ะ,te4ʔ
เต๊ะท่า,te4ʔ TA3
เต๊ะจุ๊ย,te4ʔ cu4j
เตา,ta1w
เตาแก๊ส,ta1w kY4t
เตาความร้อน,ta1w KwA1m rX4n
เตาถ่าน,ta1w TA2n
เตาปฏิกรณ์,ta1w pa2 ti2ʔ kX1n
เตาปิ้ง,ta1w pi3ŋ
เตาปูน,ta1w pU1n
เตาผิง,ta1w Pi5ŋ
เตาเผา,ta1w Pa5w
เตาเผาขยะ,ta1w Pa5w Ka2 ja2ʔ
เตาพลังงานแสงอาทิตย์,ta1w Pa4 la1ŋ ŋA1n sY5ŋ ʔA1 Ti4t
เตาฟู่,ta1w fU3
เตาไฟ,ta1w fa1j
เตาไฟฟ้า,ta1w fa1j fA4
เตาย่างอาหาร,ta1w jA3ŋ ʔA1 hA5n
เตารีด,ta1w rI3t
เตารีดผ้า,ta1w rI3t PA3
เตารีดไฟฟ้า,ta1w rI3t fa1j fA4
เตาสูบ,ta1w sU2p
เตาหุงต้ม,ta1w hu5ŋ to3m
เตาอบ,ta1w ʔo2p
เตาอบไมโครเวฟ,ta1w ʔo2p ma1j KrO1 we4p
เต่า,ta2w
เต่าตนุ,ta2w ta2 nu4ʔ
เต่าทอง,ta2w TX1ŋ
เต่าทะเล,ta2w Ta4ʔ lE1
เต่านา,ta2w nA1
เต่าปูลู,ta2w pU1 lU1
เต่าใหญ่ไข่กลบ,ta2w ja2j Ka2j klo2p
เต้า,ta3w
เต้านม,ta3w no1m
เต้ารับ,ta3w ra4p
เต้าฮวย,ta3w hV1j
เต๋า,ta5w
เต้าเจี้ยว,ta3w cJ3w
เต้าทึง,ta3w Tɯ1ŋ
เต้าหู้,ta3w hU3
เต้าหู้ทอด,ta3w hU3 TX3t
เตาหู้ยี้,ta1w hU3 jI4
เต้าหู้ยี้,ta3w hU3 jI4
เตาะแตะ,tɔ2ʔ tɛ2ʔ
เติ่ง,tZ2ŋ
เติน,tZ1n
เติบ,tZ2p
เติบโต,tZ2p tO1
เติบใหญ่,tZ2p ja2j
เติม,tZ1m
เติมเงิน,tZ1m ŋə1n
เติมเต็ม,tZ1m te1m
เติมถังให้เต็มตอนขาไป,tZ1m Ta5ŋ ha3j te1m tX1n KA5 pa1j
เติมน้ำมัน,tZ1m na4m ma1n
เติมน้ำมันรถ,tZ1m na4m ma1n ro4t
เติมลม,tZ1m lo1m
เติมลมยาง,tZ1m lo1m jA1ŋ
เติมให้เต็ม,tZ1m ha3j te1m
เติร์ก,tZ2k
เตี่ย,tJ2
เตี้ย,tJ3
เตี้ยกว่า,tJ3 kwA2
เตียง,tJ1ŋ
เตียงคนไข้,tJ1ŋ Ko1n Ka3j
เตียงคู่,tJ1ŋ KU3
เตียงเดียว,tJ1ŋ dJ1w
เตียงเดี่ยว,tJ1ŋ dJ2w
เตียงตรวจไข้,tJ1ŋ trV2t Ka3j
เตียงตรวจโรค,tJ1ŋ trV2t rO3k
เตียงนอน,tJ1ŋ nX1n
เตียงนอนเด็ก,tJ1ŋ nX1n de2k
เตียงนอนธรรมดา,tJ1ŋ nX1n Ta1m ma4 dA1
เตียงบน,tJ1ŋ bo1n
เตียงผ่าตัด,tJ1ŋ PA2 ta2t
เตียงล่าง,tJ1ŋ lA3ŋ
เตียงหัก,tJ1ŋ ha2k
เตียงใหญ่,tJ1ŋ ja2j
เตียงอาบแดด,tJ1ŋ ʔA2p dY2t
เตียน,tJ1n
เตียนโล่ง,tJ1n lO3ŋ
เตี๊ยม,tJ4m
เตี่ยว,tJ2w
เตือน,tR1n
เตือนแกมขู่,tR1n kY1m KU2
เตือนความจำ,tR1n KwA1m ca1m
เตือนใจ,tR1n ca1j
เตือนภัย,tR1n Pa1j
เตือนสติ,tR1n sa2 ti2ʔ
แต่,tY2
แต่ก็ไร้การยืนยันว่า,tY2 kX3 ra4j kA1n jW1n ja1n wA3
แต่ก่อน,tY2 kX2n
แต่ก่อนแต่กี้,tY2 kX2n tY2 kI3
แต่ก่อนนั้น,tY2 kX2n na4n
แต่ก่อนร่อนชะไร,tY2 kX2n rX3n Ca4ʔ ra1j
แต่กาลก่อน,tY2 kA1n kX2n
แต่กำเนิด,tY2 ka1m nZ2t
แต่กี้แต่ก่อน,tY2 kI3 tY2 kX2n
แต่เก่าก่อน,tY2 ka2w kX2n
แต่ไกล,tY2 kla1j
แต่คนเดียว,tY2 Ko1n dJ1w
แต่เช้า,tY2 CA4w
แต่เดิม,tY2 dZ1m
แต่ถึงกระนั้น,tY2 Tɯ5ŋ kra2ʔ na4n
แต่ถึงอย่างไร,tY2 Tɯ5ŋ jA2ŋ ra1j
แต่ที่จริงแล้ว,tY2 TI3 ci1ŋ lY4w
แต่แท้ที่จริงแล้ว,tY2 TY4 TI3 ci1ŋ lY4w
แต่นั่น,tY2 na3n
แต่นั้น,tY2 na4n
แต่นี้ต่อไป,tY2 nI4 tX2 pa1j
แต่ประการใด,tY2 pra2ʔ kA1n da1j
แต่ผู้เดียว,tY2 PU3 dJ1w
แต่ยังไงก็แล้วแต่,tY2 ja1ŋ ŋa1j kX3 lY4w tY2
แต่เริ่มแรก,tY2 rZ3m rY3k
แต่แรก,tY2 rY3k
แต่ละ,tY2 la4ʔ
แต่ละวัน,tY2 la4ʔ wa1n
แต่ลำพัง,tY2 la1m Pa1ŋ
แต่วัน,tY2 wa1n
แต่ว่า,tY2 wA3
แต่สิ่งที่มีไม่เหมือนคือความฝัน,tY2 si2ŋ TI3 mI1 ma3j mR5n KW1 KwA1m fa5n
แต่สุดท้ายก็ได้ฝันนั้นมาครอง,tY2 su2t TA4j kX3 da3j fa5n na4n mA1 KrX1ŋ
แต่หัวค่ำ,tY2 hV5 Ka3m
แต่หัววัน,tY2 hV5 wa1n
แต่ไหนแต่ไร,tY2 na5j tY2 ra1j
แต่ไหนแต่ไรมา,tY2 na5j tY2 ra1j mA1
แต่ไหนแต่ไหร่,tY2 na5j tY2 ra2j
แต่อย่างใด,tY2 jA2ŋ da1j
แต่อ้อนแต่ออก,tY2 ʔX3n tY2 ʔX2k
แตก,tY2k
แตกกระเจิง,tY2k kra2ʔ cZ1ŋ
แตกกอ,tY2k kX1
แตกกัน,tY2k ka1n
แตกกิ่ง,tY2k ki2ŋ
แตกแขนง,tY2k Ka2 nY5ŋ
แตกง่าย,tY2k ŋA3j
แตกเงิน,tY2k ŋə1n
แตกฉาน,tY2k CA5n
แตกฉานซ่านเซ็น,tY2k CA5n sA3n se1n
แตกซ่านเซ็น,tY2k sA3n se1n
แตกต่าง,tY2k tA2ŋ
แตกต่างกัน,tY2k tA2ŋ ka1n
แตกตื่น,tY2k tW2n
แตกเนื้อเป็นนายหนุ่ม,tY2k nR4 pe1n nA1j nu2m
แตกเนื้อหนุ่ม,tY2k nR4 nu2m
แตกใบ,tY2k ba1j
แตกปลี,tY2k plI1
แตกแยก,tY2k jY3k
แตกร้าว,tY2k rA4w
แตกแล้ว,tY2k lY4w
แตกวิ่น,tY2k wi3n
แตกสลาย,tY2k sa2 lA5j
แตกสะบั้น,tY2k sa2ʔ ba3n
แตกสามัคคี,tY2k sA5 ma4k KI1
แตกหนุ่ม,tY2k nu2m
แตกหักเสียหาย,tY2k ha2k sJ5 hA5j
แตกทัพ,tY2k Ta4p
แตกพาน,tY2k PA1n
แต่กระนั้น,tY2 kra2ʔ na4n
แตง,tY1ŋ
แตงกิง,tY1ŋ ki1ŋ
แตงค้าง,tY1ŋ KA4ŋ
แตงแคนตาลูป,tY1ŋ KY1n tA1 lU3p
แตงดอง,tY1ŋ dX1ŋ
แตงไทย,tY1ŋ Ta1j
แตงร้าน,tY1ŋ rA4n
แตงหวาน,tY1ŋ wA5n
แต่ง,tɛ2ŋ
แต่งกลอน,tɛ2ŋ klX1n
แต่งกาย,tɛ2ŋ kA1j
แต่งเครื่องรถ,tɛ2ŋ KrR3ŋ ro4t
แต่งงาน,tɛ2ŋ ŋA1n
แต่งงานแล้ว,tɛ2ŋ ŋA1n lY4w
แต่งงานใหม่,tɛ2ŋ ŋA1n ma2j
แต่งซิ่ง,tɛ2ŋ si3ŋ
แต่งตั้ง,tɛ2ŋ ta3ŋ
แต่งตัว,tɛ2ŋ tV1
แต่งตัวเกินงาม,tɛ2ŋ tV1 kZ1n ŋA1m
แต่งตัวยัวะ,tɛ2ŋ tV1 jV4ʔ
แต่งตัววาบหวาม,tɛ2ŋ tV1 wA3p wA5m
แต่งเติม,tɛ2ŋ tZ1m
แต่งแต้ม,tɛ2ŋ tY3m
แต่งประโยค,tɛ2ŋ pra2ʔ jO2k
แต่งแผล,tɛ2ŋ PlY5
แต่งเพลง,tɛ2ŋ PlE1ŋ
แต่งเมีย,tɛ2ŋ mJ1
แต่งเรื่อง,tɛ2ŋ rR3ŋ
แต่งเล็บ,tɛ2ŋ le4p
แต่งหน้า,tɛ2ŋ nA3
แต่งหน้าทาปาก,tɛ2ŋ nA3 TA1 pA2k
แต่งหน้าร้าน,tɛ2ŋ nA3 rA4n
แต่งองค์ทรงเครื่อง,tɛ2ŋ ʔo1ŋ so1ŋ KrR3ŋ
แตงกวา,tY1ŋ kwA1
แตงกวาดอง,tY1ŋ kwA1 dX1ŋ
แต็งกิ้วลาย,tɛ1ŋ ki3w lA1j
แตงโม,tY1ŋ mO1
แต้จิ๋ว,tY3 ci5w
แตด,tY2t
แต๊ดแต๋,tY4t tY5
แต่ทว่า,tY2 Ta4 wA3
แตน,tY1n
แต้ม,tY3m
แต้มต่อ,tY3m tX2
แต้มสี,tY3m sI5
แต้มหรือคะแนนที่ได้,tY3m rW5 Ka4ʔ nY1n TI3 da3j
แตร,trY1
แตรเดี่ยว,trY1 dJ2w
แตรนอน,trY1 nX1n
แตรปลุก,trY1 plu2k
แตรรถ,trY1 ro4t
แตรวง,trY1 wo1ŋ
แตรสั้น,trY1 sa3n
แตลลิน,tlY1 li1n
แต๋ว,tY5w
แตะ,tɛ2ʔ
แตะต้อง,tɛ2ʔ tɔ3ŋ
แตะอั๋ง,tɛ2ʔ ʔa5ŋ
แต๊ะอั๋ง,tɛ4ʔ ʔa5ŋ
โต,tO1
โตขึ้น,tO1 Kɯ3n
โตเต็มที่,tO1 te1m TI3
โตแล้ว,tO1 lY4w
โตวันโตคืน,tO1 wa1n tO1 KW1n
โต้,tO3
โต้กลับ,tO3 kla2p
โต้คลื่น,tO3 KlW3n
โต้คารม,tO3 KA1 ro1m
โต้ตอบ,tO3 tX2p
โต้แย้ง,tO3 jY4ŋ
โต้ลม,tO3 lo1m
โตก,tO2k
โตเกียว,tO1 kJ1w
โตโก,tO1 kO1
โต่ง,tO2ŋ
โต้ง,tO3ŋ
โตงเตง,tO1ŋ tE1ŋ
โต๋เต๋,tO5 te5ʔ
โต้เถียง,tO3 TJ5ŋ
โตนด,ta2 nO2t
โตเบโก,tO1 bE1 kO1
โตปิกา,tO1 pi2ʔ kA1
โต้โผ,tO3 PO5
โตโยต้า,tO1 jO1 tA3
โตรกธาร,trO2k TA1n
โตรอนโต,tO1 rX1n tO1
โต้วาที,tO3 wA1 TI1
โต๊ะ,to4ʔ
โต๊ะกลม,to4ʔ klo1m
โต๊ะกลางรับแขก,to4ʔ klA1ŋ ra4p KY2k
โต๊ะกั้น,to4ʔ ka3n
โต๊ะกาแฟ,to4ʔ kA1 fY1
โต๊ะกินข้าว,to4ʔ ki1n KA3w
โต๊ะข้างเตียง,to4ʔ KA3ŋ tJ1ŋ
โต๊ะเขียน,to4ʔ KJ5n
โต๊ะเขียนหนังสือ,to4ʔ KJ5n na5ŋ sW5
โต๊ะเครื่องแป้ง,to4ʔ KrR3ŋ pY3ŋ
โต๊ะจีน,to4ʔ cI1n
โต๊ะชำระเงิน,to4ʔ Ca1m ra4ʔ ŋə1n
โต๊ะทำงาน,to4ʔ Ta1m ŋA1n
โต๊ะทำงานของช่าง,to4ʔ Ta1m ŋA1n KX5ŋ Ca3ŋ
โต๊ะบูชา,to4ʔ bU1 CA1
โต๊ะประชาสัมพันธ์,to4ʔ pra2ʔ CA1 sa5m Pa1n
โต๊ะปิงปอง,to4ʔ pi1ŋ pX1ŋ
โต๊ะรับแขก,to4ʔ ra4p KY2k
โต๊ะรับประทานอาหาร,to4ʔ ra4p pra2ʔ TA1n ʔA1 hA5n
โต๊ะรีดผ้า,to4ʔ rI3t PA3
โต๊ะเล็กวางข้างเก้าอี้,to4ʔ le4k wA1ŋ KA3ŋ ka3w ʔI3
โต๊ะวางของ,to4ʔ wA1ŋ KX5ŋ
โต๊ะวางชุดน้ำชากาแฟ,to4ʔ wA1ŋ Cu4t nA4m CA1 kA1 fY1
โต๊ะวางถาด,to4ʔ wA1ŋ TA2t
โต๊ะสนทนา,to4ʔ so5n Ta4 nA1
โต๊ะเสวย,to4ʔ sa2 wZ5j
โต๊ะหมู่บูชา,to4ʔ mU2 bU1 CA1
โต๊ะอาหาร,to4ʔ ʔA1 hA5n
โต๊ะอิหม่าม,to4ʔ ʔi2ʔ mA2m
ใต้,tA3j
ใต้แขน,ta3j KY5n
ใต้ดิน,ta3j di1n
ใต้ถุน,ta3j Tu5n
ใต้น้ำ,ta3j nA4m
ใต้ฝ่าพระบาท,ta3j fA2 Pra4ʔ bA2t
ใต้ฝ่าละอองธุลีพระบาท,ta3j fA2 la4ʔ ʔX1ŋ Tu4ʔ lI1 Pra4ʔ bA2t
ใต้ฝ่าละอองพระบาท,ta3j fA2 la4ʔ ʔX1ŋ Pra4ʔ bA2t
ใต้รักแร้,ta3j ra4k rY4
ไต,ta1j
ไตปลา,ta1j plA1
ไต่,ta2j
ไต่เขา,ta2j Ka5w
ไต่เต้า,ta2j ta3w
ไต่เต้าขึ้น,ta2j ta3w Kɯ3n
ไต่ถาม,ta2j TA5m
ไต่ระดับ,ta2j ra4ʔ da2p
ไต้,ta3j
ไต๋,ta5j
ไต้ก๋ง,ta3j ko5ŋ
ไต้ฝุ่น,ta3j fu2n
ไตร,tra1j
ไตรจักร,tra1j ca2k
ไตรปิฎก,tra1j pi2ʔ do2k
ไตรภาค,tra1j PA3k
ไตรภาคี,tra1j PA1 KI1
ไตรมาส,tra1j mA3t
ไตรลักษณ์,tra1j la4k
ไตร่ตรอง,tra2j trX1ŋ
ไตรมิตร,tra1j mi4t
ไตรยางศ์,tra1j jA1ŋ
ไต่สวน,ta2j sV5n
ไต่สวนฉุกเฉิน,ta2j sV5n Cu2k CZ5n
ไต่สวนสาธารณะ,ta2j sV5n sA5 TA1 ra4 na4ʔ
ไต้หวัน,ta3j wa5n
ถ.,TX5
ถก,To2k
ถกเถียง,To2k TJ5ŋ
ถกเถียงโต้แย้ง,To2k TJ5ŋ tO3 jY4ŋ
ถกเถียงเสียงแตก,To2k TJ5ŋ sJ5ŋ tY2k
ถกล,Ta2 ko1n
ถงัน,Ta2 ŋa5n
ถงาด,Ta2 ŋA2t
ถด,To2t
ถดถอย,To2t TX5j
ถนน,Ta2 no5n
ถนนข้าวสาร,Ta2 no5n KA3w sA5n
ถนนชนิดที่มีการแบ่งแยกทิศทาง,Ta2 no5n Ca4 ni4t TI3 mI1 kA1n bɛ2ŋ jY3k Ti4t TA1ŋ
ถนนชิดลม,Ta2 no5n Ci4t lo1m
ถนนตรงดิ่วไปสู่นครราชสีมา,Ta2 no5n tro1ŋ di2w pa1j sU2 na4 KX1n rA3t Ca4 sI5 mA1
ถนนที่สอง,Ta2 no5n TI3 sX5ŋ
ถนนในเมือง,Ta2 no5n na1j mR1ŋ
ถนนพระราม,Ta2 no5n Pra4ʔ rA1m
ถนนเพชรบุรี,Ta2 no5n PE3t bu2ʔ rI1
ถนนเพลินจิต,Ta2 no5n PlZ1n ci2t
ถนนรัชดาภิเษก,Ta2 no5n ra4t Ca4 dA1 Pi4ʔ sE2k
ถนนราชดำเนิน,Ta2 no5n rA3t Ca4 da1m nZ1n
ถนนราชดำริ,Ta2 no5n rA3t Ca4 da1m ri4ʔ
ถนนราชปรารภ,Ta2 no5n rA3t Ca4 prA1 ro4p
ถนนลูกรัง,Ta2 no5n lU3k ra1ŋ
ถนนเลน,Ta2 no5n lE1n
ถนนเลี่ยงเมือง,Ta2 no5n lJ3ŋ mR1ŋ
ถนนวงแหวน,Ta2 no5n wo1ŋ wY5n
ถนนวิทยุ,Ta2 no5n wi4t Ta4 ju4ʔ
ถนนสาธร,Ta2 no5n sA5 TX1n
ถนนสีลม,Ta2 no5n sI5 lo1m
ถนนสุขุมวิท,Ta2 no5n su2ʔ Ku5m wi4t
